,Year,Film,Song,Nominees,FilmLink,Won
37,1940 (13th) [25],,,,,False
38,1940 (13th) [25],Pinocchio,"""When You Wish Upon a Star""",Leigh Harline (music); Ned Washington (lyrics),/wiki/Pinocchio_(1940_film),True
39,1940 (13th) [25],Down Argentine Way,"""Down Argentine Way""",Harry Warren (music); Mack Gordon (lyrics),/wiki/Down_Argentine_Way,False
40,1940 (13th) [25],Hit Parade of 1941,"""Who Am I?""",Jule Styne (music); Walter Bullock (lyrics),/wiki/Hit_Parade_of_1941,False
41,1940 (13th) [25],Music in My Heart,"""It's a Blue World""",Chet Forrest & Bob Wright (music & lyrics),/wiki/Music_in_My_Heart,False
42,1940 (13th) [25],Rhythm on the River,"""Only Forever""",James V. Monaco (music); John Burke (lyrics),/wiki/Rhythm_on_the_River,False
43,1940 (13th) [25],Second Chorus,"""Love of My Life""",Artie Shaw (music); Johnny Mercer (lyrics),/wiki/Second_Chorus,False
44,1940 (13th) [25],Spring Parade,"""Waltzing in the Clouds""",Robert Stolz (music); Gus Kahn (lyrics),/wiki/Spring_Parade,False
45,1940 (13th) [25],Strike Up the Band,"""Our Love Affair""",Roger Edens & Arthur Freed (music & lyrics),/wiki/Strike_Up_the_Band_(film),False
46,1940 (13th) [25],You'll Find Out,"""I'd Know You Anywhere""",Jimmy McHugh (music); Johnny Mercer (lyrics),/wiki/You%27ll_Find_Out,False
47,1941 (14th) [26],,,,,False
48,1941 (14th) [26],Lady Be Good,"""The Last Time I Saw Paris""",Jerome Kern (music); Oscar Hammerstein II (lyrics),/wiki/Lady_Be_Good_(1941_film),True
49,1941 (14th) [26],All-American Co-ed,"""Out of the Silence""",Lloyd B. Norlin (music and lyrics),/wiki/All-American_Co-ed,False
50,1941 (14th) [26],Blues in the Night,"""Blues in the Night""",Harold Arlen (music); Johnny Mercer (lyrics),/wiki/Blues_in_the_Night_(film),False
51,1941 (14th) [26],Buck Privates,"""Boogie Woogie Bugle Boy""",Hughie Prince (music); Don Raye (lyrics),/wiki/Buck_Privates,False
52,1941 (14th) [26],Dumbo,"""Baby Mine""",Frank Churchill (music); Ned Washington (lyrics),/wiki/Dumbo,False
53,1941 (14th) [26],Las Vegas Nights,"""Dolores""",Louis Alter (music); Frank Loesser (lyrics),/wiki/Las_Vegas_Nights,False
54,1941 (14th) [26],Ridin' on a Rainbow,"""Be Honest with Me""",Gene Autry & Fred Rose (music & lyrics),/wiki/Ridin%27_on_a_Rainbow,False
55,1941 (14th) [26],Sun Valley Serenade,"""Chattanooga Choo Choo""",Harry Warren (music); Mack Gordon (lyrics),/wiki/Sun_Valley_Serenade,False
56,1941 (14th) [26],You'll Never Get Rich,"""Since I Kissed My Baby Goodbye""",Cole Porter (music & lyrics),/wiki/You%27ll_Never_Get_Rich,False
57,1942 (15th) [27],,,,,False
58,1942 (15th) [27],Holiday Inn,"""White Christmas""",Irving Berlin (music & lyrics),/wiki/Holiday_Inn_(film),True
59,1942 (15th) [27],Always in My Heart,"""Always in My Heart""",Ernesto Lecuona (music); Kim Gannon (lyrics),/wiki/Always_in_My_Heart_(film),False
60,1942 (15th) [27],Babes on Broadway,"""How About You?""",Burton Lane (music); Ralph Freed (lyrics),/wiki/Babes_on_Broadway,False
61,1942 (15th) [27],Bambi,"""Love Is a Song""",Frank Churchill (p.n.) (music); Larry Morey (lyrics),/wiki/Bambi,False
62,1942 (15th) [27],Flying with Music,"""Pennies for Peppino""",Edward Ward (music); Chet Forrest & Bob Wright (lyrics),/wiki/Flying_with_Music,False
63,1942 (15th) [27],Hellzapoppin' [a],"""Pig Foot Pete""",Gene de Paul (music); Don Raye (lyrics),,False
64,1942 (15th) [27],The Mayor of 44th Street,"""There's a Breeze on Lake Louise""",Harry Revel (music); Mort Greene (lyrics),/wiki/The_Mayor_of_44th_Street,False
65,1942 (15th) [27],Orchestra Wives,"""(I've Got a Gal in) Kalamazoo""",Harry Warren (music); Mack Gordon (lyrics),/wiki/Orchestra_Wives,False
66,1942 (15th) [27],You Were Never Lovelier,"""Dearly Beloved""",Jerome Kern (music); Johnny Mercer (lyrics),/wiki/You_Were_Never_Lovelier,False
67,1942 (15th) [27],Youth on Parade,"""I've Heard That Song Before""",Jule Styne (music); Sammy Cahn (lyrics),/wiki/Youth_on_Parade,False
68,1943 (16th) [28],,,,,False
69,1943 (16th) [28],"Hello, Frisco, Hello","""You'll Never Know""",Harry Warren (music); Mack Gordon (lyrics),"/wiki/Hello,_Frisco,_Hello",True
70,1943 (16th) [28],Cabin in the Sky,"""Happiness Is a Thing Called Joe""",Harold Arlen (music); Yip Harburg (lyrics),/wiki/Cabin_in_the_Sky_(film),False
71,1943 (16th) [28],Hers to Hold,"""Say a Pray'r for the Boys Over There""",Jimmy McHugh (music); Herb Magidson (lyrics),/wiki/Hers_to_Hold,False
72,1943 (16th) [28],Hit Parade of 1943,"""Change of Heart""",Jule Styne (music); Harold Adamson (lyrics),/wiki/Hit_Parade_of_1943,False
73,1943 (16th) [28],Saludos Amigos,"""Saludos Amigos""",Charles Wolcott (music); Ned Washington (lyrics),/wiki/Saludos_Amigos,False
74,1943 (16th) [28],The Sky's the Limit,"""My Shining Hour""",Arlen (music); Johnny Mercer (lyrics),/wiki/The_Sky%27s_the_Limit_(1943_film),False
75,1943 (16th) [28],Something to Shout About,"""You'd Be So Nice to Come Home To""",Cole Porter (music & lyrics),/wiki/Something_to_Shout_About_(film),False
76,1943 (16th) [28],Stage Door Canteen,"""We Mustn't Say Goodbye""",James V. Monaco (music); Al Dubin (lyrics),/wiki/Stage_Door_Canteen_(film),False
77,1943 (16th) [28],Star Spangled Rhythm,"""That Old Black Magic"" [b]",Harold Arlen (music); Johnny Mercer (lyrics),/wiki/Star_Spangled_Rhythm,False
78,1943 (16th) [28],Thank Your Lucky Stars,"""They're Either Too Young or Too Old""",Arthur Schwartz (music); Frank Loesser (lyrics),/wiki/Thank_Your_Lucky_Stars_(film),False
79,1944 (17th) [29],,,,,False
80,1944 (17th) [29],Going My Way,"""Swinging on a Star""",Jimmy Van Heusen (music); Johnny Burke (lyrics),/wiki/Going_My_Way,True
81,1944 (17th) [29],Brazil,"""Rio de Janeiro""",Ary Barroso (music); Ned Washington (lyrics),/wiki/Brazil_(1944_film),False
82,1944 (17th) [29],Cover Girl,"""Long Ago (and Far Away)""",Jerome Kern (music); Ira Gershwin (lyrics),/wiki/Cover_Girl_(film),False
83,1944 (17th) [29],Follow the Boys,"""I'll Walk Alone""",Jule Styne (music); Sammy Cahn (lyrics),/wiki/Follow_the_Boys_(1944_film),False
84,1944 (17th) [29],Higher and Higher,"""I Couldn't Sleep a Wink Last Night""",Jimmy McHugh (music); Harold Adamson (lyrics),/wiki/Higher_and_Higher_(film),False
85,1944 (17th) [29],Hollywood Canteen,"""Sweet Dreams, Sweetheart""",M. K. Jerome (music); Ted Koehler (lyrics),/wiki/Hollywood_Canteen_(film),False
86,1944 (17th) [29],"Lady, Let's Dance","""Silver Shadows and Golden Dreams""",Lew Pollack (music); Charles Newman (lyrics),"/wiki/Lady,_Let%27s_Dance",False
87,1944 (17th) [29],Meet Me in St. Louis,"""The Trolley Song""",Ralph Blane & Hugh Martin (music & lyrics),/wiki/Meet_Me_in_St._Louis,False
88,1944 (17th) [29],Minstrel Man,"""Remember Me to Carolina""",Harry Revel (music); Paul Francis Webster (lyrics),/wiki/Minstrel_Man_(1944_film),False
89,1944 (17th) [29],Song of the Open Road,"""Too Much in Love""",Walter Kent (music); Kim Gannon (lyrics),/wiki/Song_of_the_Open_Road,False
90,1944 (17th) [29],Sweet and Low-Down,"""I'm Making Believe""",James V. Monaco (music); Mack Gordon (lyrics),/wiki/Sweet_and_Low-Down,False
91,1944 (17th) [29],Up in Arms,"""Now I Know""",Harold Arlen (music); Ted Koehler (lyrics),/wiki/Up_in_Arms,False
92,1945 (18th) [30],,,,,False
93,1945 (18th) [30],State Fair,"""It Might as Well Be Spring""",Richard Rodgers (music); Oscar Hammerstein II (lyrics),/wiki/State_Fair_(1945_film),True
94,1945 (18th) [30],Anchors Aweigh,"""I Fall in Love Too Easily""",Jule Styne (music); Sammy Cahn (lyrics),/wiki/Anchors_Aweigh_(film),False
95,1945 (18th) [30],Belle of the Yukon,"""Sleighride in July""",Jimmy Van Heusen (music); Johnny Burke (lyrics),/wiki/Belle_of_the_Yukon,False
96,1945 (18th) [30],The Bells of St. Mary's,"""Aren't You Glad You're You?""",Jimmy Van Heusen (music); Johnny Burke (lyrics),/wiki/The_Bells_of_St._Mary%27s,False
97,1945 (18th) [30],Can't Help Singing,"""More and More""",Jerome Kern (p.n.) (music); Yip Harburg (lyrics),/wiki/Can%27t_Help_Singing,False
98,1945 (18th) [30],Earl Carroll Vanities,"""Endlessly""",Walter Kent (music); Kim Gannon (lyrics),/wiki/Earl_Carroll_Vanities,False
99,1945 (18th) [30],Here Come the Waves,"""Ac-Cent-Tchu-Ate the Positive""",Harold Arlen (music); Johnny Mercer (lyrics),/wiki/Here_Come_the_Waves,False
100,1945 (18th) [30],Love Letters,"""Love Letters""",Victor Young (music); Edward Heyman (lyrics),/wiki/Love_Letters_(1945_film),False
101,1945 (18th) [30],San Antonio,"""Some Sunday Morning""",Ray Heindorf & M. K. Jerome (music); Ted Koehler (lyrics),/wiki/San_Antonio_(film),False
102,1945 (18th) [30],Sing Your Way Home,"""I'll Buy That Dream""",Allie Wrubel (music); Herb Magidson (lyrics),/wiki/Sing_Your_Way_Home,False
103,1945 (18th) [30],The Story of G.I. Joe,"""Linda""",Ann Ronell (music & lyrics),/wiki/The_Story_of_G.I._Joe,False
104,1945 (18th) [30],Tonight and Every Night,"""Anywhere""",Jule Styne (music); Sammy Cahn (lyrics),/wiki/Tonight_and_Every_Night,False
105,1945 (18th) [30],Why Girls Leave Home,"""The Cat and the Canary""",Jay Livingston (music); Ray Evans (lyrics),/wiki/Why_Girls_Leave_Home_(1945_film),False
106,1945 (18th) [30],Wonder Man,"""So in Love""",David Rose (music); Leo Robin (lyrics),/wiki/Wonder_Man_(film),False
107,1946 (19th) [31],,,,,False
108,1946 (19th) [31],The Harvey Girls,"""On the Atchison, Topeka and the Santa Fe""",Harry Warren (music); Johnny Mercer (lyrics),/wiki/The_Harvey_Girls,True
109,1946 (19th) [31],Blue Skies,"""You Keep Coming Back Like a Song""",Irving Berlin (music & lyrics),/wiki/Blue_Skies_(1946_film),False
110,1946 (19th) [31],Canyon Passage,"""Ole Buttermilk Sky""",Hoagy Carmichael (music); Jack Brooks (lyrics),/wiki/Canyon_Passage,False
111,1946 (19th) [31],Centennial Summer,"""All Through the Day""",Jerome Kern (p.n.) (music); Oscar Hammerstein II (lyrics),/wiki/Centennial_Summer,False
112,1946 (19th) [31],The Dolly Sisters,"""I Can't Begin to Tell You""",James V. Monaco (p.n.) (music); Mack Gordon (lyrics),/wiki/The_Dolly_Sisters_(film),False
113,1947 (20th) [32],,,,,False
114,1947 (20th) [32],Song of the South,"""Zip-a-Dee-Doo-Dah""",Allie Wrubel (music); Ray Gilbert (lyrics),/wiki/Song_of_the_South,True
115,1947 (20th) [32],Good News,"""Pass That Peace Pipe""","Ralph Blane, Roger Edens & Hugh Martin (music & lyrics)",/wiki/Good_News_(1947_film),False
116,1947 (20th) [32],Mother Wore Tights,"""You Do""",Josef Myrow (music); Mack Gordon (lyrics),/wiki/Mother_Wore_Tights,False
117,1947 (20th) [32],The Perils of Pauline,"""I Wish I Didn't Love You So""",Frank Loesser (music & lyrics),/wiki/The_Perils_of_Pauline_(1947_film),False
118,1947 (20th) [32],"The Time, the Place and the Girl","""A Gal in Calico""",Arthur Schwartz (music); Leo Robin (lyrics),"/wiki/The_Time,_the_Place_and_the_Girl_(1946_film)",False
119,1948 (21st) [33],,,,,False
120,1948 (21st) [33],The Paleface,"""Buttons and Bows""",Ray Evans & Jay Livingston (music & lyrics),/wiki/The_Paleface_(1948_film),True
121,1948 (21st) [33],Casbah,"""For Every Man There's a Woman""",Harold Arlen (music); Leo Robin (lyrics),/wiki/Casbah_(film),False
122,1948 (21st) [33],Romance on the High Seas,"""It's Magic""",Jule Styne (music); Sammy Cahn (lyrics),/wiki/Romance_on_the_High_Seas,False
123,1948 (21st) [33],That Lady in Ermine,"""This Is the Moment""",Friedrich Hollaender (music); Leo Robin (lyrics),/wiki/That_Lady_in_Ermine,False
124,1948 (21st) [33],Wet Blanket Policy,"""The Woody Woodpecker Song""",Ramey Idriss & George Tibbles (music & lyrics),/wiki/Wet_Blanket_Policy,False
125,1949 (22nd) [34],,,,,False
126,1949 (22nd) [34],Neptune's Daughter,"""Baby, It's Cold Outside""",Frank Loesser (music & lyrics),/wiki/Neptune%27s_Daughter_(1949_film),True
127,1949 (22nd) [34],Come to the Stable,"""Through a Long and Sleepless Night""",Alfred Newman (music); Mack Gordon (lyrics),/wiki/Come_to_the_Stable,False
128,1949 (22nd) [34],It's a Great Feeling,"""It's a Great Feeling""",Jule Styne (music); Sammy Cahn (lyrics),/wiki/It%27s_a_Great_Feeling,False
129,1949 (22nd) [34],My Foolish Heart,"""My Foolish Heart""",Victor Young (music); Ned Washington (lyrics),/wiki/My_Foolish_Heart_(1949_film),False
130,1949 (22nd) [34],So Dear to My Heart,"""Lavender Blue""",Eliot Daniel (music); Larry Morey (lyrics),/wiki/So_Dear_to_My_Heart,False
131,1950 (23rd) [35],,,,,False
132,1950 (23rd) [35],"Captain Carey, U.S.A.","""Mona Lisa""",Ray Evans & Jay Livingston (music & lyrics),"/wiki/Captain_Carey,_U.S.A.",True
133,1950 (23rd) [35],Cinderella,"""Bibbidi-Bobbidi-Boo""","Mack David, Al Hoffman & Jerry Livingston (music & lyrics)",/wiki/Cinderella_(1950_film),False
134,1950 (23rd) [35],Singing Guns,"""Mule Train""","Fred Glickman, Hy Heath & Johnny Lange (music & lyrics)",/wiki/Singing_Guns,False
135,1950 (23rd) [35],The Toast of New Orleans,"""Be My Love""",Slug Brodszky (music); Sammy Cahn (lyrics),/wiki/The_Toast_of_New_Orleans,False
136,1950 (23rd) [35],Wabash Avenue,"""Wilhelmina""",Josef Myrow (music); Mack Gordon (lyrics),/wiki/Wabash_Avenue_(film),False
137,1951 (24th) [36],,,,,False
138,1951 (24th) [36],Here Comes the Groom,"""In the Cool, Cool, Cool of the Evening""",Hoagy Carmichael (music); Johnny Mercer (lyrics),/wiki/Here_Comes_the_Groom_(1951_film),True
139,1951 (24th) [36],Golden Girl,"""Never""",Lionel Newman (music); Eliot Daniel (lyrics),/wiki/Golden_Girl_(1951_film),False
140,1951 (24th) [36],"Rich, Young and Pretty","""Wonder Why""",Slug Brodszky (music); Sammy Cahn (lyrics),"/wiki/Rich,_Young_and_Pretty",False
141,1951 (24th) [36],Royal Wedding,"""Too Late Now""",Burton Lane (music); Alan Jay Lerner (lyrics),/wiki/Royal_Wedding,False
142,1951 (24th) [36],The Strip,"""A Kiss to Build a Dream On""","Bert Kalmar (p.n.), Oscar Hammerstein II & Harry Ruby (music & lyrics)",/wiki/The_Strip_(1951_film),False
143,1952 (25th) [37],,,,,False
144,1952 (25th) [37],High Noon,"""The Ballad of High Noon""",Dimitri Tiomkin (music); Ned Washington (lyrics),/wiki/High_Noon,True
145,1952 (25th) [37],Because You're Mine,"""Because You're Mine""",Slug Brodszky (music); Sammy Cahn (lyrics),/wiki/Because_You%27re_Mine,False
146,1952 (25th) [37],Hans Christian Andersen,"""Thumbelina""",Frank Loesser (music & lyrics),/wiki/Hans_Christian_Andersen_(film),False
147,1952 (25th) [37],Just for You,"""Zing a Little Zong""",Harry Warren (music); Leo Robin (lyrics),/wiki/Just_for_You_(1952_film),False
148,1952 (25th) [37],Son of Paleface,"""Am I in Love""",Jack Brooks (music & lyrics),/wiki/Son_of_Paleface,False
149,1953 (26th) [38],,,,,False
150,1953 (26th) [38],Calamity Jane,"""Secret Love""",Sammy Fain (music); Paul Francis Webster (lyrics),/wiki/Calamity_Jane_(film),True
151,1953 (26th) [38],The Caddy,"""That's Amore""",Harry Warren (music); Jack Brooks (lyrics),/wiki/The_Caddy,False
152,1953 (26th) [38],Miss Sadie Thompson,"""Blue Pacific Blues""",Lester Lee (music); Ned Washington (lyrics),/wiki/Miss_Sadie_Thompson,False
153,1953 (26th) [38],The Moon Is Blue,"""The Moon Is Blue""",Herschel Burke Gilbert (music); Sylvia Fine (lyrics),/wiki/The_Moon_Is_Blue_(film),False
154,1953 (26th) [38],Small Town Girl,"""My Flaming Heart""",Slug Brodszky (music); Leo Robin (lyrics),/wiki/Small_Town_Girl_(1953_film),False
155,1954 (27th) [39],,,,,False
156,1954 (27th) [39],Three Coins in the Fountain,"""Three Coins in the Fountain""",Jule Styne (music); Sammy Cahn (lyrics),/wiki/Three_Coins_in_the_Fountain_(film),True
157,1954 (27th) [39],The High and the Mighty,"""The High and the Mighty""",Dimitri Tiomkin (music); Ned Washington (lyrics),/wiki/The_High_and_the_Mighty_(film),False
158,1954 (27th) [39],A Star Is Born,"""The Man That Got Away""",Harold Arlen (music); Ira Gershwin (lyrics),/wiki/A_Star_Is_Born_(1954_film),False
159,1954 (27th) [39],Susan Slept Here,"""Hold My Hand""",Jack Lawrence & Richard Myers (music & lyrics),/wiki/Susan_Slept_Here,False
160,1954 (27th) [39],White Christmas,"""Count Your Blessings""",Irving Berlin (music & lyrics),/wiki/White_Christmas_(film),False
161,1955 (28th) [40],,,,,False
162,1955 (28th) [40],Love Is a Many-Splendored Thing,"""Love Is a Many-Splendored Thing""",Sammy Fain (music); Paul Francis Webster (lyrics),/wiki/Love_Is_a_Many-Splendored_Thing_(film),True
163,1955 (28th) [40],Daddy Long Legs,"""Something's Gotta Give""",Johnny Mercer (music & lyrics),/wiki/Daddy_Long_Legs_(1955_film),False
164,1955 (28th) [40],Love Me or Leave Me,"""I'll Never Stop Loving You""",Slug Brodszky (music); Sammy Cahn (lyrics),/wiki/Love_Me_or_Leave_Me_(film),False
165,1955 (28th) [40],The Tender Trap,"""(Love Is) The Tender Trap""",Jimmy Van Heusen (music); Cahn (lyrics),/wiki/The_Tender_Trap_(film),False
166,1955 (28th) [40],Unchained,"""Unchained Melody""",Alex North (music); Hy Zaret (lyrics),/wiki/Unchained_(film),False
167,1956 (29th) [41],,,,,False
168,1956 (29th) [41],The Man Who Knew Too Much,"""Que Sera, Sera""",Ray Evans & Jay Livingston (music & lyrics),/wiki/The_Man_Who_Knew_Too_Much_(1956_film),True
169,1956 (29th) [41],Friendly Persuasion,"""Friendly Persuasion""",Dimitri Tiomkin (music); Paul Francis Webster (lyrics),/wiki/Friendly_Persuasion_(1956_film),False
170,1956 (29th) [41],High Society,"""True Love""",Cole Porter (music & lyrics),/wiki/High_Society_(1956_film),False
171,1956 (29th) [41],Julie,"""Julie""",Leith Stevens (music); Tom Adair (lyrics),/wiki/Julie_(1956_film),False
172,1956 (29th) [41],Written on the Wind,"""Written on the Wind""",Victor Young (p.n.) (music); Sammy Cahn (lyrics),/wiki/Written_on_the_Wind,False
173,1957 (30th) [42],,,,,False
174,1957 (30th) [42],The Joker Is Wild,"""All the Way""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/The_Joker_Is_Wild,True
175,1957 (30th) [42],An Affair to Remember,"""An Affair to Remember""",Harry Warren (music); Harold Adamson & Leo McCarey (lyrics),/wiki/An_Affair_to_Remember,False
176,1957 (30th) [42],April Love,"""April Love""",Sammy Fain (music); Paul Francis Webster (lyrics),/wiki/April_Love_(film),False
177,1957 (30th) [42],Tammy and the Bachelor,"""Tammy""",Ray Evans & Jay Livingston (music & lyrics),/wiki/Tammy_and_the_Bachelor,False
178,1957 (30th) [42],Wild Is the Wind,"""Wild Is the Wind""",Dimitri Tiomkin (music); Ned Washington (lyrics),/wiki/Wild_Is_the_Wind,False
179,1958 (31st) [43],,,,,False
180,1958 (31st) [43],Gigi,"""Gigi""",Frederick Loewe (music); Alan Jay Lerner (lyrics),/wiki/Gigi_(1958_film),True
181,1958 (31st) [43],A Certain Smile,"""A Certain Smile""",Sammy Fain (music); Paul Francis Webster (lyrics),/wiki/A_Certain_Smile_(film),False
182,1958 (31st) [43],Houseboat,"""Almost in Your Arms""",Ray Evans & Jay Livingston (music & lyrics),/wiki/Houseboat_(film),False
183,1958 (31st) [43],Marjorie Morningstar,"""A Very Precious Love""",Fain (music); Webster (lyrics),/wiki/Marjorie_Morningstar_(film),False
184,1958 (31st) [43],Some Came Running,"""To Love and Be Loved""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/Some_Came_Running_(film),False
185,1959 (32nd) [44],,,,,False
186,1959 (32nd) [44],A Hole in the Head,"""High Hopes""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/A_Hole_in_the_Head,True
187,1959 (32nd) [44],The Best of Everything,"""The Best of Everything""",Alfred Newman (music); Cahn (lyrics),/wiki/The_Best_of_Everything_(film),False
188,1959 (32nd) [44],The Five Pennies,"""The Five Pennies""",Sylvia Fine (music & lyrics),/wiki/The_Five_Pennies,False
189,1959 (32nd) [44],The Hanging Tree,"""The Hanging Tree""",Jerry Livingston (music); Mack David (lyrics),/wiki/The_Hanging_Tree_(film),False
190,1959 (32nd) [44],The Young Land,"""Strange Are the Ways of Love""",Dimitri Tiomkin (music); Ned Washington (lyrics),/wiki/The_Young_Land,False
191,1960 (33rd) [45],,,,,False
192,1960 (33rd) [45],Never on Sunday,"""Never on Sunday""",Manos Hatzidakis (music & lyrics),/wiki/Never_on_Sunday,True
193,1960 (33rd) [45],The Alamo,"""The Green Leaves of Summer""",Dimitri Tiomkin (music); Paul Francis Webster (lyrics),/wiki/The_Alamo_(1960_film),False
194,1960 (33rd) [45],The Facts of Life,"""The Facts of Life""",Johnny Mercer (music & lyrics),/wiki/The_Facts_of_Life_(film),False
195,1960 (33rd) [45],High Time,"""The Second Time Around""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/High_Time_(film),False
196,1960 (33rd) [45],Pepe,"""Faraway Part of Town""",André Previn (music); Dory Previn (lyrics),/wiki/Pepe_(1960_film),False
197,1961 (34th) [46],,,,,False
198,1961 (34th) [46],Breakfast at Tiffany's,"""Moon River""",Henry Mancini (music); Johnny Mercer (lyrics),/wiki/Breakfast_at_Tiffany%27s_(film),True
199,1961 (34th) [46],Bachelor in Paradise,"""Bachelor in Paradise""",Mancini (music); Mack David (lyrics),/wiki/Bachelor_in_Paradise_(film),False
200,1961 (34th) [46],El Cid,"""The Falcon and the Dove""",Miklós Rózsa (music); Paul Francis Webster (lyrics),/wiki/El_Cid_(film),False
201,1961 (34th) [46],Pocketful of Miracles,"""Pocketful of Miracles""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/Pocketful_of_Miracles,False
